geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,associated press,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
Idaho,100,0,0,600,200,0,47,2367,80,506,290,70,2466,174,0,604,1675,33,49,639,145,0,58,2783,14,76,1418,470,67,969,114,174,307,220,2185,0,135,1015,0,1250,1559,99,96,1246,0,250,583,1134,433
Illinois,219,0,277,2010,494,5,101,2472,73,349,287,60,2552,100,1,761,1723,10,9,497,144,0,51,2805,0,71,1705,554,16,654,94,259,285,183,2179,0,133,655,64,2148,788,251,127,1834,0,341,889,1188,582
Indiana,220,0,125,1150,1005,7,135,2417,50,391,260,108,2506,126,0,723,1686,17,36,538,135,0,59,2805,1,126,1701,454,51,668,59,210,365,182,2184,0,50,1156,0,1794,1326,300,298,1076,0,377,1232,887,404
Iowa,133,0,50,1150,767,15,108,2333,88,456,326,94,2446,134,0,768,1676,39,37,480,177,0,78,2730,15,217,1479,380,86,838,109,277,357,154,2103,0,78,959,0,1663,1501,66,223,1210,0,361,648,1283,608
Kansas,101,0,0,1040,559,0,43,2346,45,566,377,90,2360,173,0,800,1709,24,33,434,122,0,55,2817,6,57,1600,426,75,842,67,211,324,151,2247,0,105,845,0,2050,1186,203,149,1462,0,172,985,876,667
Kentucky,350,0,166,1384,500,0,90,2385,68,457,291,108,2473,128,0,716,1763,24,33,464,101,0,49,2848,2,156,1610,388,19,827,62,325,254,122,2237,0,70,865,0,1865,1186,116,191,1507,0,449,786,755,1010
Louisiana,299,0,835,1016,150,5,201,2152,71,571,300,88,2448,154,10,766,1717,17,37,463,114,0,47,2829,10,125,1706,505,30,634,86,213,194,108,2399,0,0,541,0,2359,851,194,328,1627,0,121,695,1114,670
Maine,0,0,34,1399,267,0,113,2310,172,405,289,152,2266,293,0,682,1743,17,57,501,243,0,78,2647,32,163,1433,444,72,888,161,311,370,194,1964,0,0,658,0,1842,1129,244,78,1549,0,302,587,1592,419
Maryland,178,0,267,2191,364,11,111,2434,105,339,290,69,2413,228,0,620,1896,15,13,456,193,0,102,2665,40,83,1735,513,22,647,96,289,308,185,2122,0,352,1603,0,1045,587,193,204,2008,8,198,664,1730,408
Massachusetts,340,0,402,1813,445,16,125,2437,150,272,405,61,2358,170,6,765,1743,16,16,460,252,0,60,2687,1,62,1583,593,30,732,116,387,244,223,2030,0,224,924,0,1852,654,72,97,2165,12,206,678,1860,256
Michigan,477,0,61,1536,826,6,110,2420,90,374,247,75,2578,94,6,778,1762,10,25,425,146,0,42,2812,0,86,1597,417,39,861,77,208,347,145,2223,0,151,943,0,1906,1132,233,156,1479,0,444,614,1311,631
Minnesota,339,0,122,2007,332,3,100,2471,124,302,337,80,2418,160,5,719,1846,12,19,404,189,0,56,2755,0,88,1727,414,55,716,203,179,280,138,2200,0,218,954,0,1828,1061,126,222,1591,0,290,771,1339,600
Mississippi,0,0,0,1300,0,0,173,2178,29,620,256,45,2557,142,0,744,1718,28,58,452,102,0,78,2810,10,185,1677,604,0,534,35,229,339,131,2266,0,167,846,0,1687,1287,40,188,1485,0,260,671,668,801
Missouri,378,0,103,1341,778,0,108,2394,78,420,247,102,2517,134,0,763,1739,14,25,459,107,0,46,2846,1,102,1614,475,47,762,55,271,307,97,2270,0,271,777,0,1952,1179,129,212,1480,0,302,841,1076,781
Montana,100,0,0,750,350,0,145,2333,47,475,591,136,2196,77,0,693,1564,41,41,661,225,0,118,2654,3,86,1337,181,92,1304,73,165,238,212,2312,0,50,701,0,1649,1680,121,135,964,0,133,293,1424,150
Nebraska,133,0,0,884,283,15,45,2336,49,555,298,74,2474,154,0,791,1757,12,30,410,119,0,59,2816,6,170,1403,594,53,780,70,210,315,164,2241,0,248,508,0,1944,1728,0,192,1080,0,137,813,883,967
Nevada,34,0,133,1226,307,0,73,2430,70,427,334,151,2302,194,19,802,1720,7,28,443,106,0,66,2815,13,92,1787,614,0,507,82,292,325,151,2150,0,0,662,0,2038,814,445,196,1513,32,349,781,978,792
New Hampshire,349,0,66,1285,100,0,59,2480,179,282,360,166,2284,190,0,686,1785,17,72,440,226,0,103,2661,10,69,1626,422,72,811,151,313,304,248,1984,0,34,736,0,2030,811,120,97,1972,0,566,295,1595,244
New Jersey,232,0,204,2018,546,4,84,2459,93,360,200,54,2312,430,4,786,1673,7,12,522,224,0,46,2729,1,107,1556,936,14,387,120,390,277,276,1937,0,76,1012,0,1912,596,245,155,2004,0,265,407,1879,449
New Mexico,617,0,51,932,200,0,203,2322,70,405,500,104,2235,161,0,573,1888,26,41,472,192,0,77,2708,23,124,1553,427,9,887,110,270,321,212,2087,0,50,1201,0,1249,1012,201,170,1617,0,400,425,1399,776
New York,334,0,349,1904,413,12,72,2388,182,346,282,42,2483,191,2,761,1701,9,18,511,304,0,53,2643,0,45,1480,1050,6,419,194,336,243,311,1916,0,199,1025,33,1743,477,157,58,2304,4,144,296,2440,120
North Carolina,253,0,346,1794,607,4,108,2513,81,294,211,53,2612,122,2,619,1962,9,16,394,115,0,56,2829,0,88,1684,471,31,726,51,378,297,100,2174,0,198,904,0,1898,1135,180,131,1554,0,345,751,1382,522
North Dakota,0,0,0,0,100,0,24,2607,55,314,535,32,2354,79,0,792,1559,11,69,569,205,0,67,2728,0,167,1404,442,0,887,137,134,530,151,2048,0,0,850,0,450,846,33,0,1421,0,200,50,950,300
Ohio,266,0,367,1686,681,7,95,2472,75,351,295,46,2556,100,3,769,1740,9,9,473,129,0,42,2829,0,106,1585,429,50,830,52,210,368,115,2255,0,203,751,0,2046,1353,143,174,1330,0,349,911,1187,553
Oklahoma,50,0,183,1401,366,11,68,2337,71,513,287,104,2492,110,7,658,1787,41,58,456,102,0,47,2846,5,145,1463,558,33,801,103,196,257,133,2311,0,33,703,0,2064,1357,164,229,1250,0,286,619,957,738
Oregon,253,0,196,2192,359,15,134,2413,122,316,438,142,2286,134,0,590,1888,19,40,463,204,0,74,2719,3,81,1528,340,24,1027,113,223,299,188,2177,0,112,1325,0,1563,1121,243,191,1445,0,334,947,988,631
Pennsylvania,336,0,372,1831,461,4,95,2492,92,317,268,29,2517,186,0,785,1645,12,14,544,199,0,65,2736,0,76,1660,565,33,666,83,380,302,147,2088,0,192,975,67,1766,1033,188,147,1632,0,267,652,1548,533
Rhode Island,349,0,351,600,100,0,72,2584,61,283,304,98,2381,217,0,719,1580,35,32,634,253,0,85,2660,2,49,1540,559,21,831,121,453,422,356,1648,0,0,1117,0,1383,393,137,0,2470,0,139,554,1608,299
South Carolina,33,0,341,1751,375,0,113,2354,74,459,236,77,2541,146,0,709,1844,28,33,386,118,0,60,2807,15,208,1571,530,18,673,43,354,264,127,2212,0,113,716,0,2171,1112,112,137,1639,0,393,910,924,773
South Dakota,0,0,100,0,300,0,0,2116,236,448,340,98,2398,164,0,1014,1461,22,44,459,167,0,96,2722,15,257,1520,284,0,739,111,248,338,106,2197,0,0,600,0,1200,1479,0,0,921,0,33,434,383,950
Tennessee,67,0,133,1937,663,0,119,2332,117,432,249,87,2532,122,10,671,1849,16,19,445,115,0,57,2823,5,145,1567,465,40,783,80,248,288,120,2264,0,139,835,0,2026,1110,163,126,1601,0,484,681,1150,685
Texas,406,0,344,1416,834,5,64,2417,72,442,243,55,2608,94,0,659,1898,4,11,428,89,0,33,2878,0,63,1850,457,22,608,54,264,219,88,2375,0,134,496,26,2344,931,151,119,1795,4,615,782,1100,503
Utah,150,0,133,967,750,0,152,2211,167,470,306,93,2443,158,0,571,1870,36,45,478,138,0,46,2809,7,146,1464,466,15,909,67,162,268,173,2330,0,119,620,0,2261,2120,32,126,722,0,568,862,943,427
Vermont,150,0,0,850,200,33,191,2181,125,470,717,98,1985,200,0,696,1710,33,63,498,413,0,89,2460,38,75,1393,455,20,1057,91,403,444,348,1714,0,34,1164,0,402,304,0,0,2496,0,0,934,1782,84
Virginia,215,0,326,1884,575,7,86,2478,91,338,256,48,2540,156,0,551,1874,21,17,537,188,0,91,2696,25,92,1805,479,33,591,82,228,291,146,2253,0,294,1551,35,1120,639,209,133,2014,5,361,925,1261,453
Washington,490,0,309,1710,491,8,113,2495,95,289,418,111,2352,114,5,591,1899,23,27,460,183,0,55,2758,4,62,1594,324,43,977,102,353,211,169,2165,0,63,1716,0,1221,999,249,125,1616,11,319,768,1220,693
West Virginia,0,0,134,566,200,0,233,2349,52,366,365,66,2350,219,0,725,1766,21,28,460,110,0,42,2823,25,182,1483,487,0,848,115,366,323,141,2055,0,79,881,0,1140,544,12,58,2386,0,199,651,800,350
Wisconsin,682,0,122,1768,428,12,99,2430,80,379,293,80,2506,121,0,818,1646,19,21,496,142,0,58,2800,0,136,1582,489,22,771,52,234,407,126,2181,0,44,934,0,2022,1029,144,179,1648,0,285,973,970,772
Wyoming,0,0,0,0,0,0,73,2319,0,308,359,61,2540,40,0,718,1560,0,56,666,252,0,66,2667,15,95,1268,283,0,1154,79,217,271,84,2349,0,0,425,0,475,1585,0,0,715,0,0,700,500,300
