geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,associated press,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
Alabama,70,0,100,1533,597,0,128,2306,89,477,240,54,2584,122,0,805,1690,21,24,460,102,0,47,2842,9,199,1470,474,19,838,55,176,233,66,2470,0,178,505,0,2117,1261,173,173,1393,0,264,980,805,951
Alaska,50,0,0,1751,99,0,119,2335,73,473,412,164,2195,209,20,502,1827,43,59,569,222,0,89,2680,9,54,1349,375,127,1095,75,174,252,114,2385,0,0,482,0,1118,992,545,0,1263,0,334,383,700,283
Arizona,380,0,168,1409,743,5,64,2377,111,443,257,79,2586,73,5,686,1853,18,24,419,140,0,51,2808,1,90,1702,425,16,767,86,175,259,128,2352,0,253,645,0,2102,1281,152,151,1416,0,310,1001,1073,616
Arkansas,100,0,200,750,250,55,117,2087,30,711,318,97,2496,89,0,708,1784,32,38,438,116,0,59,2810,15,102,1597,477,0,824,93,262,215,122,2308,0,303,195,0,1902,1103,269,189,1339,0,499,510,836,955
California,361,0,276,1822,541,4,99,2395,93,409,306,56,2549,89,0,680,1793,12,27,488,127,0,42,2831,0,39,1769,428,9,755,112,334,246,214,2094,0,121,764,12,2103,553,410,62,1975,0,403,804,1299,494
Colorado,441,0,225,1899,435,5,95,2461,100,339,364,96,2388,149,3,683,1818,19,22,458,169,0,67,2763,1,83,1499,431,32,955,67,251,237,145,2300,0,165,649,0,2186,1178,127,96,1593,6,462,878,1259,401
Connecticut,125,0,40,2141,294,0,117,2407,165,311,339,91,2336,234,0,571,1676,14,21,718,316,0,59,2622,3,99,1461,856,15,569,140,354,305,209,1992,0,328,822,0,1850,721,160,153,1966,0,133,607,1941,319
Delaware,67,0,0,783,350,0,95,1982,72,851,340,98,2305,257,0,729,1689,9,27,546,205,0,128,2650,17,31,1292,872,0,705,128,444,438,350,1640,0,0,517,0,983,1436,66,0,1298,0,266,351,1133,250
District of Columbia,355,0,115,2216,314,0,96,2438,189,277,370,85,2260,284,1,592,1904,23,21,460,219,0,126,2622,33,101,1495,620,26,758,150,405,262,180,2003,0,388,1697,0,915,478,245,150,2109,18,261,764,1691,284
Florida,201,0,262,1860,677,4,88,2522,54,332,192,51,2578,179,0,664,1891,7,16,422,140,0,41,2819,0,80,1859,499,29,533,73,232,295,133,2267,0,195,828,13,1964,968,121,104,1806,1,280,543,1642,535
Georgia,117,0,427,1868,588,2,70,2460,71,397,213,62,2508,214,3,647,1974,6,16,357,106,0,52,2842,0,96,1737,495,26,646,57,246,259,86,2352,0,112,731,48,2109,945,167,149,1739,0,397,887,1261,455
Hawaii,400,0,150,1000,50,0,111,2381,119,389,502,35,2387,76,0,753,1818,20,26,383,149,0,44,2796,11,156,1378,518,43,905,86,315,379,339,1881,0,50,825,0,1525,561,1132,0,1307,0,0,364,1336,400
