geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,associated press,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
Michigan,0,0,0,0,0,22,233,2245,156,344,442,88,2338,132,0,903,1376,38,44,639,320,0,0,2668,12,228,1502,184,122,964,265,368,715,296,1356,0,0,900,0,0,0,200,0,100,0,200,1045,533,222
Minnesota,100,0,100,0,0,0,89,2023,125,463,435,159,2292,114,0,677,1549,79,76,619,423,0,0,2563,14,284,1468,236,100,812,165,337,622,453,1223,0,0,700,0,0,0,100,0,100,0,133,599,985,383
Mississippi,0,0,0,0,0,0,0,700,0,100,137,0,1563,0,0,865,1098,75,32,630,317,0,0,2650,33,248,551,0,0,501,103,0,364,500,1133,0,0,300,0,0,0,300,0,0,0,0,0,0,300
Missouri,0,0,0,0,0,0,50,2202,201,247,264,171,2547,18,0,684,1596,13,60,647,473,0,7,2488,32,258,1319,68,25,1330,191,487,722,341,1259,0,0,1100,0,0,0,200,0,200,0,48,260,692,700
Montana,0,0,0,0,0,0,0,936,147,617,100,0,600,0,0,472,1328,0,0,300,552,0,0,2148,0,100,347,0,0,653,150,100,250,550,550,0,0,300,0,0,0,0,0,0,0,0,200,0,400
Nebraska,0,0,0,0,0,0,0,1001,50,249,200,100,1410,190,0,827,1602,0,58,413,275,0,0,2725,0,257,802,99,0,542,200,200,682,226,1192,0,0,500,0,0,800,0,0,0,0,100,100,200,300
Nevada,0,0,0,0,0,0,83,1317,0,200,349,50,1201,0,0,604,1290,0,52,954,319,0,0,2581,0,265,1192,50,166,327,50,306,199,234,811,0,0,100,0,0,0,0,0,0,0,0,100,300,200
New Hampshire,100,0,0,0,0,0,101,1349,150,300,0,200,1300,100,0,631,1456,34,136,443,594,0,0,2278,28,583,1154,19,0,544,220,370,363,120,1227,0,0,0,0,0,0,0,0,0,0,0,100,900,100
New Jersey,200,0,0,0,100,0,83,1944,245,528,270,270,1997,463,0,773,1470,77,94,586,322,0,0,2676,2,391,1630,589,15,375,463,355,458,524,1200,0,0,1400,0,0,100,0,0,200,0,145,323,1656,476
New Mexico,0,0,0,0,0,0,0,1270,97,233,100,0,1600,0,0,533,1590,0,350,327,311,0,0,2689,0,100,650,0,0,850,251,239,334,132,944,0,0,300,0,0,0,0,0,100,0,0,100,300,0
New York,1000,0,0,0,0,0,71,1749,413,767,397,198,2191,214,0,672,1537,80,136,575,487,0,6,2495,12,440,1461,476,98,525,428,412,544,571,1045,0,0,2000,0,0,100,500,0,900,0,93,528,2175,204
North Carolina,0,0,0,0,0,0,114,2081,199,406,372,163,2305,160,0,725,1469,71,87,648,213,0,6,2760,21,607,1234,141,95,823,72,762,528,400,1238,0,0,900,0,0,200,200,0,200,0,0,333,634,533
North Dakota,0,0,0,0,0,0,0,300,0,100,50,0,750,0,0,483,997,0,0,320,373,0,0,2427,0,0,400,100,0,100,0,0,650,0,250,0,0,500,0,0,0,0,0,0,0,0,100,100,0
Ohio,400,0,0,0,0,0,34,2260,33,573,293,67,2444,196,0,828,1356,73,72,671,298,0,0,2694,8,617,1303,223,108,749,154,286,812,385,1363,0,100,1300,0,0,0,350,0,350,0,77,1113,691,619
Oklahoma,100,0,0,0,0,0,100,1515,50,235,90,33,2477,100,0,789,1588,0,53,470,254,0,0,2734,12,267,1076,283,99,575,134,195,740,233,1398,0,0,200,0,0,0,0,0,0,0,0,798,0,602
Oregon,100,0,0,0,0,0,244,1871,56,529,517,149,2122,112,0,640,1578,63,191,528,424,0,0,2576,0,357,1323,101,204,1015,290,232,601,482,1195,0,100,500,0,0,0,0,0,200,0,0,400,500,200
Pennsylvania,500,0,0,0,0,0,25,2139,249,387,352,95,2114,439,0,772,1302,169,53,704,332,0,0,2642,26,447,1532,267,0,654,118,474,734,440,1234,0,0,1300,0,0,100,200,0,0,0,199,693,1305,403
Rhode Island,200,0,0,0,0,0,34,1315,200,151,100,200,700,300,0,741,1199,70,0,790,440,0,0,2560,0,299,534,134,0,533,291,541,585,99,584,0,0,600,0,0,200,0,0,0,0,0,100,400,0
South Carolina,0,0,0,0,0,0,50,1436,83,231,273,282,2195,50,0,1084,1223,0,131,462,162,0,21,2808,9,598,1102,0,51,749,182,665,459,133,1261,0,0,500,0,0,100,100,0,0,0,200,600,450,150
South Dakota,0,0,0,0,0,0,0,800,0,100,52,249,899,0,0,295,1245,0,0,460,291,0,0,2409,0,100,300,0,0,0,150,266,251,0,1033,0,0,0,0,0,0,0,0,0,0,50,0,50,0
Tennessee,0,0,0,0,0,0,0,1695,275,230,279,80,2555,86,0,819,1426,52,101,602,330,0,0,2655,15,883,1250,20,0,647,249,179,997,179,1396,0,0,800,0,0,0,100,0,0,0,0,1147,499,554
Texas,400,0,0,0,0,0,180,2130,148,542,339,97,2446,118,0,784,1515,47,47,607,187,0,4,2798,11,481,1440,301,118,660,211,470,467,290,1562,0,0,1000,100,0,50,450,0,100,0,318,817,1134,531
Utah,0,0,0,0,0,0,0,1352,0,148,367,151,1909,73,0,828,1233,65,107,667,267,0,0,2733,0,445,948,53,99,455,119,272,789,377,1043,0,0,400,0,0,100,0,0,0,0,200,300,200,100
Vermont,0,0,0,0,0,0,0,1032,136,632,324,0,1076,100,0,557,1337,18,242,346,383,0,0,2617,0,48,750,0,0,602,57,551,283,100,709,0,0,0,0,0,0,100,0,0,0,0,0,300,0
Virginia,0,0,0,0,0,0,135,1687,407,571,545,92,2158,205,0,852,1403,44,58,643,308,0,0,2624,68,356,1675,190,103,676,206,321,745,535,1193,0,0,2517,83,0,0,800,0,200,0,384,890,1203,323
Washington,300,0,100,0,0,20,56,2087,107,730,563,146,2178,113,0,680,1483,108,131,598,318,0,0,2643,39,443,1622,100,48,787,373,389,714,337,1187,0,99,2401,0,0,0,0,0,0,0,362,794,947,297
West Virginia,0,0,0,0,0,0,0,1100,0,100,150,0,900,50,0,449,1084,0,0,367,70,0,0,2530,0,0,1100,0,0,200,200,267,786,50,497,0,0,100,0,0,0,0,0,1400,0,0,200,400,100
Wisconsin,0,0,0,0,200,0,182,1890,93,435,514,28,2176,82,0,862,1288,10,113,727,320,0,0,2634,46,437,1610,122,87,544,281,364,660,297,1398,0,0,500,0,0,0,300,0,100,0,283,808,541,568
Wyoming,0,0,0,0,0,0,0,400,0,0,0,0,800,0,0,518,632,0,0,350,416,0,0,2384,0,401,350,0,0,49,100,249,300,100,651,0,0,0,0,0,0,0,0,0,0,0,200,0,100
