geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,associated press,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
Alabama,0,0,0,0,0,0,0,1574,251,175,181,0,2435,84,0,799,1303,0,14,684,266,0,0,2734,0,774,592,25,0,809,134,250,974,292,1250,0,0,500,0,0,0,0,0,0,0,200,600,200,500
Alaska,100,0,0,0,0,0,0,200,0,200,0,0,1400,0,0,639,1191,49,50,471,229,0,0,2271,0,226,641,251,176,306,84,154,201,50,611,0,0,0,0,0,0,200,0,0,0,0,0,0,0
Arizona,100,0,0,0,0,33,78,1908,0,681,238,259,2154,49,0,817,1228,48,15,892,334,0,8,2645,13,403,1439,243,58,657,70,216,666,405,1543,0,0,800,0,0,0,100,0,200,0,100,650,951,199
Arkansas,0,0,0,0,0,0,0,1000,0,0,151,50,2099,0,0,491,1468,68,125,548,139,0,0,2761,0,281,936,33,0,350,184,317,464,150,1085,0,0,0,0,0,0,100,0,0,0,400,200,150,50
California,1100,0,200,0,0,0,134,1992,282,592,338,163,2407,92,0,703,1561,45,69,622,233,0,0,2759,8,298,1701,166,73,762,305,436,532,455,1272,0,0,2450,50,0,150,867,0,683,0,163,981,1291,565
Colorado,400,0,0,0,0,0,158,1602,69,371,277,219,2268,136,0,702,1586,52,25,635,252,0,0,2739,9,357,1334,184,214,811,285,397,545,351,1422,0,0,600,0,0,0,100,0,0,0,50,750,651,249
Connecticut,300,0,0,0,0,34,0,1726,196,544,282,0,2321,197,0,682,1580,71,67,600,490,0,0,2486,24,159,1205,384,34,918,235,291,892,649,833,0,0,700,0,0,0,100,0,0,0,184,501,1591,324
Delaware,100,0,0,0,0,0,100,300,0,100,279,0,1621,100,0,320,1439,0,34,607,290,0,0,2423,87,81,969,0,0,250,183,217,535,184,781,0,0,400,0,0,0,0,0,0,0,0,300,400,200
District of Columbia,100,0,100,0,0,0,242,1945,221,492,448,65,2226,161,0,679,1411,79,239,592,474,0,0,2432,94,695,1178,297,40,790,281,586,520,437,1076,0,0,1800,0,0,0,0,0,0,0,0,862,1238,100
Florida,0,0,0,0,100,29,40,1983,111,837,330,69,2419,182,0,822,1417,61,99,601,285,0,33,2667,15,384,1545,189,43,839,306,261,601,422,1410,0,0,2149,0,151,0,100,0,300,0,201,395,1552,752
Georgia,200,0,0,0,200,16,0,1873,86,825,393,113,2272,222,0,734,1428,70,126,642,302,0,0,2672,26,553,1334,288,148,677,257,494,585,342,1322,0,0,800,0,0,100,200,0,400,0,34,492,782,592
Hawaii,0,0,0,0,0,0,0,1284,0,216,250,50,1700,100,0,878,1182,83,81,676,211,0,0,2789,0,209,1117,49,0,625,100,0,403,51,1446,0,0,0,0,0,0,200,0,0,0,0,100,200,100
Idaho,0,0,0,0,0,0,0,900,0,200,300,0,1000,0,0,405,1422,33,170,470,52,0,0,2948,0,0,1100,0,100,300,160,284,349,151,1156,0,0,100,0,0,0,0,0,0,0,0,300,200,300
Illinois,500,0,0,0,100,0,90,2043,257,510,303,118,2517,62,0,815,1366,27,125,667,289,0,2,2697,12,298,1650,197,126,729,309,210,859,551,1071,0,0,950,50,0,0,100,0,1000,0,121,1182,785,512
Indiana,0,0,0,0,0,0,316,1929,0,155,349,143,1874,134,0,667,1271,102,13,747,297,0,0,2703,0,192,1126,223,0,759,137,568,770,430,995,0,0,400,0,0,0,100,0,0,0,100,750,183,367
Iowa,0,0,0,0,100,0,99,1469,82,50,76,26,2150,148,0,581,1870,0,56,493,394,0,0,2606,0,260,1101,0,0,539,221,381,880,214,1004,0,0,0,0,0,0,100,0,0,0,249,125,450,276
Kansas,0,0,0,0,100,0,0,1302,100,498,204,0,2129,167,0,747,1394,62,133,564,230,0,0,2759,11,111,1013,51,40,1285,91,599,426,450,1034,0,0,400,0,0,0,0,0,0,0,0,500,300,200
Kentucky,0,0,0,0,0,0,140,1210,0,250,432,478,1640,50,0,659,1606,50,0,485,387,0,0,2396,17,334,1082,100,0,384,200,85,787,249,1379,0,0,300,0,0,0,0,0,0,0,0,0,600,300
Louisiana,200,0,0,0,0,0,0,1317,200,383,218,233,2323,126,0,660,1169,109,122,840,333,0,0,2652,15,172,1703,51,0,274,212,223,652,416,1197,0,0,100,0,0,0,0,0,0,0,0,250,250,300
Maine,0,0,0,0,0,0,0,1450,150,100,701,0,1014,185,0,545,1702,24,50,479,504,0,0,2496,0,284,1083,67,0,566,0,247,191,202,960,0,0,0,0,0,0,0,0,200,0,50,250,952,148
Maryland,0,0,0,0,0,0,140,1916,178,566,400,53,2393,154,0,823,1331,113,91,642,387,0,0,2574,39,573,1435,189,131,672,241,383,848,442,1086,0,0,2200,0,0,0,0,0,0,0,50,624,866,160
Massachusetts,400,0,0,0,0,0,95,1757,472,676,409,144,2211,236,0,797,1478,105,142,478,410,0,3,2566,21,372,1479,361,131,657,338,451,564,606,1041,0,0,1300,0,0,50,100,0,350,0,322,440,1724,214
